month,featured_posts,total_votes,median_votes,top_decile_size,classified_posts,multi_label_posts
2026-01,432,80517,131.0,44,83,19
2026-02,508,92999,124.0,52,148,40
2026-03,677,119157,124.0,68,249,76
2026-04,901,126719,96.0,92,243,67
2026-05,827,115508,95.0,83,222,68
2026-06,616,105057,117.0,62,169,56
2026-07,534,100275,137.5,54,166,56
2026-08,524,81505,112.5,53,190,49
